OrderID,EmployeeID,CustomerTableID,OrderDate,CompletedDate
1,7,1,2022-02-06,2022-02-10
2,7,2,2022-02-11,2022-02-16
3,9,3,2022-02-11,2022-02-18
4,8,4,2022-02-13,2022-02-16
5,8,5,2022-02-15,2022-02-18
6,6,6,2022-02-17,2022-02-22
7,7,7,2022-02-28,2022-03-02
8,6,8,2022-02-28,2022-03-05
9,8,9,2022-03-02,2022-03-06
10,8,2,2022-03-05,2022-03-12
11,2,10,2022-03-09,2022-03-13
12,2,3,2022-03-10,2022-03-16
13,6,11,2022-03-10,2022-03-14
14,7,12,2022-03-15,2022-03-22
15,9,13,2022-03-17,2022-03-22
16,3,6,2022-03-18,2022-03-22
17,7,2,2022-03-19,2022-03-26
18,9,14,2022-03-20,2022-03-24
19,5,2,2022-03-21,2022-03-26
20,3,11,2022-03-27,2022-04-03
21,6,15,2022-03-29,2022-04-01
22,9,11,2022-03-31,2022-04-03
23,1,16,2022-04-01,2022-04-07
24,1,5,2022-04-04,2022-04-07
25,9,2,2022-04-09,2022-04-12
26,8,7,2022-04-09,2022-04-13
27,9,17,2022-04-09,2022-04-14
28,8,18,2022-04-18,2022-04-20
29,3,19,2022-04-23,2022-04-29
30,5,7,2022-04-24,2022-04-30
31,3,11,2022-04-26,2022-04-29
32,9,13,2022-04-27,2022-05-02
33,1,6,2022-04-29,2022-05-04
34,5,6,2022-05-02,2022-05-05
35,3,20,2022-05-02,2022-05-07
36,5,21,2022-05-09,2022-05-15
37,7,22,2022-05-10,2022-05-12
38,9,23,2022-05-11,2022-05-14
39,9,1,2022-05-15,2022-05-20
40,7,12,2022-05-16,2022-05-23
41,7,19,2022-05-25,2022-05-30
42,5,24,2022-05-26,2022-06-02
43,7,25,2022-05-26,2022-05-28
44,5,26,2022-05-26,2022-06-01
45,2,20,2022-05-27,2022-05-30
46,7,2,2022-05-28,2022-05-30
47,3,27,2022-05-29,2022-06-05
48,8,21,2022-06-03,2022-06-10
49,6,8,2022-06-06,2022-06-12
50,9,13,2022-06-07,2022-06-13
51,8,13,2022-06-07,2022-06-13
52,8,20,2022-06-07,2022-06-10
53,2,2,2022-06-09,2022-06-16
54,8,23,2022-06-09,2022-06-12
55,5,28,2022-06-09,2022-06-16
56,2,15,2022-06-10,2022-06-14
57,2,29,2022-06-11,2022-06-16
58,6,14,2022-06-16,2022-06-22
59,8,16,2022-06-19,2022-06-23
60,7,30,2022-06-20,2022-06-26
61,6,23,2022-06-22,2022-06-29
62,7,24,2022-06-22,2022-06-29
63,5,13,2022-06-23,2022-06-29
64,8,21,2022-06-23,2022-06-28
65,4,19,2022-06-25,2022-07-02
66,5,18,2022-06-26,2022-06-29
67,3,29,2022-06-26,2022-06-30
68,2,29,2022-06-26,2022-06-30
69,7,12,2022-06-28,2022-06-30
70,6,20,2022-06-28,2022-07-05
71,1,8,2022-06-30,2022-07-06
72,9,31,2022-07-03,2022-07-10
73,8,15,2022-07-05,2022-07-11
74,5,10,2022-07-06,2022-07-12
75,6,15,2022-07-07,2022-07-13
76,7,20,2022-07-07,2022-07-12
77,5,19,2022-07-08,2022-07-11
78,7,29,2022-07-08,2022-07-13
79,7,32,2022-07-08,2022-07-13
80,4,12,2022-07-11,2022-07-18
81,8,23,2022-07-13,2022-07-18
82,2,33,2022-07-13,2022-07-15
83,1,4,2022-07-15,2022-07-20
84,1,23,2022-07-16,2022-07-20
85,8,11,2022-07-18,2022-07-21
86,9,3,2022-07-19,2022-07-24
87,7,31,2022-07-19,2022-07-26
88,6,26,2022-07-24,2022-07-31
89,9,34,2022-07-24,2022-07-28
90,4,6,2022-07-25,2022-07-29
91,2,35,2022-07-25,2022-08-01
92,7,17,2022-07-27,2022-07-29
93,4,25,2022-07-27,2022-08-01
94,8,19,2022-07-29,2022-08-05
95,9,7,2022-07-30,2022-08-04
96,8,8,2022-07-30,2022-08-05
97,9,31,2022-07-30,2022-08-02
98,3,4,2022-08-01,2022-08-05
99,2,36,2022-08-02,2022-08-09
100,9,37,2022-08-02,2022-08-09
101,7,4,2022-08-04,2022-08-06
102,1,20,2022-08-04,2022-08-11
103,5,31,2022-08-04,2022-08-11
104,5,14,2022-08-05,2022-08-10
105,6,38,2022-08-06,2022-08-10
106,7,33,2022-08-08,2022-08-12
107,9,8,2022-08-11,2022-08-14
108,7,29,2022-08-12,2022-08-18
109,3,31,2022-08-15,2022-08-18
110,8,4,2022-08-16,2022-08-22
111,4,33,2022-08-16,2022-08-18
112,9,15,2022-08-17,2022-08-21
113,4,39,2022-08-18,2022-08-21
114,9,24,2022-08-20,2022-08-25
115,7,7,2022-08-22,2022-08-29
116,5,15,2022-08-22,2022-08-28
117,5,25,2022-08-22,2022-08-27
118,3,14,2022-08-23,2022-08-25
119,3,31,2022-08-24,2022-08-31
120,5,13,2022-08-27,2022-09-03
121,6,4,2022-08-29,2022-08-31
122,9,26,2022-08-29,2022-08-31
123,5,19,2022-08-30,2022-09-01
124,7,40,2022-08-30,2022-09-06
125,2,31,2022-08-31,2022-09-05
126,7,41,2022-09-01,2022-09-06
127,5,28,2022-09-02,2022-09-07
128,5,2,2022-09-04,2022-09-10
129,3,38,2022-09-04,2022-09-08
130,7,5,2022-09-05,2022-09-11
131,2,14,2022-09-05,2022-09-10
132,1,11,2022-09-07,2022-09-14
133,6,42,2022-09-07,2022-09-14
134,1,1,2022-09-11,2022-09-17
135,2,7,2022-09-11,2022-09-17
136,5,8,2022-09-11,2022-09-18
137,5,43,2022-09-13,2022-09-20
138,5,16,2022-09-14,2022-09-16
139,1,16,2022-09-15,2022-09-18
140,6,36,2022-09-15,2022-09-17
141,7,44,2022-09-16,2022-09-21
142,3,14,2022-09-17,2022-09-21
143,7,45,2022-09-18,2022-09-22
144,3,46,2022-09-22,2022-09-26
145,4,32,2022-09-23,2022-09-27
146,7,47,2022-09-23,2022-09-27
147,8,49,2022-09-24,2022-09-29
148,4,50,2022-09-25,2022-09-27
149,5,40,2022-09-26,2022-10-02
150,6,8,2022-09-29,2022-10-01
151,2,31,2022-09-30,2022-10-03
152,5,4,2022-10-01,2022-10-08
153,6,34,2022-10-06,2022-10-10
154,5,8,2022-10-07,2022-10-12
155,8,13,2022-10-07,2022-10-12
156,7,20,2022-10-10,2022-10-17
157,5,2,2022-10-12,2022-10-19
158,2,19,2022-10-13,2022-10-17
159,9,2,2022-10-14,2022-10-20
160,7,5,2022-10-15,2022-10-19
161,2,33,2022-10-15,2022-10-18
162,9,51,2022-10-15,2022-10-20
163,4,2,2022-10-16,2022-10-20
164,8,40,2022-10-16,2022-10-22
165,7,35,2022-10-17,2022-10-20
166,7,7,2022-10-19,2022-10-21
167,4,32,2022-10-19,2022-10-25
168,2,33,2022-10-19,2022-10-26
169,2,14,2022-10-20,2022-10-23
170,7,52,2022-10-20,2022-10-25
171,9,4,2022-10-21,2022-10-25
172,2,36,2022-10-21,2022-10-28
173,7,14,2022-10-22,2022-10-29
174,8,24,2022-10-23,2022-10-27
175,7,6,2022-10-24,2022-10-26
176,2,53,2022-10-24,2022-10-31
177,4,54,2022-10-25,2022-10-28
178,7,11,2022-10-27,2022-11-03
179,3,55,2022-11-01,2022-11-07
180,2,28,2022-11-06,2022-11-09
181,4,21,2022-11-08,2022-11-10
182,5,21,2022-11-09,2022-11-12
183,1,43,2022-11-09,2022-11-12
184,4,11,2022-11-10,2022-11-14
185,5,56,2022-11-11,2022-11-14
186,3,38,2022-11-12,2022-11-14
187,9,23,2022-11-13,2022-11-17
188,9,13,2022-11-14,2022-11-21
189,6,37,2022-11-14,2022-11-20
190,5,48,2022-11-14,2022-11-21
191,9,57,2022-11-15,2022-11-17
192,5,12,2022-11-16,2022-11-22
193,8,46,2022-11-18,2022-11-22
194,9,9,2022-11-19,2022-11-23
195,5,49,2022-11-19,2022-11-25
196,7,33,2022-11-20,2022-11-25
197,3,58,2022-11-20,2022-11-25
198,8,28,2022-11-22,2022-11-29
199,7,59,2022-11-23,2022-11-27
200,2,21,2022-11-24,2022-11-28
201,1,46,2022-11-24,2022-11-26
202,1,60,2022-11-24,2022-12-01
203,4,61,2022-11-25,2022-11-29
204,8,12,2022-11-26,2022-11-30
205,3,29,2022-11-26,2022-11-29
206,5,30,2022-11-26,2022-11-28
207,8,37,2022-11-27,2022-11-29
208,4,10,2022-11-28,2022-12-05
209,9,46,2022-11-28,2022-11-30
210,7,50,2022-11-28,2022-12-05
211,3,62,2022-11-28,2022-12-04
212,3,14,2022-11-29,2022-12-05
213,5,29,2022-11-30,2022-12-05
214,8,44,2022-11-30,2022-12-02
215,9,33,2022-12-03,2022-12-10
216,2,63,2022-12-05,2022-12-09
217,1,30,2022-12-06,2022-12-11
218,5,28,2022-12-07,2022-12-14
219,7,64,2022-12-09,2022-12-11
220,7,22,2022-12-10,2022-12-13
221,8,41,2022-12-11,2022-12-15
222,9,45,2022-12-13,2022-12-19
223,7,43,2022-12-14,2022-12-18
224,5,23,2022-12-17,2022-12-24
225,2,27,2022-12-17,2022-12-19
226,9,36,2022-12-17,2022-12-23
227,6,35,2022-12-18,2022-12-20
228,2,42,2022-12-19,2022-12-25
229,3,58,2022-12-21,2022-12-26
230,2,50,2022-12-25,2022-12-29
231,5,65,2022-12-25,2022-12-27
232,9,66,2022-12-25,2023-01-01
233,8,67,2022-12-25,2022-12-31
234,7,68,2022-12-25,2023-01-01
235,3,48,2022-12-26,2022-12-31
236,5,63,2022-12-27,2023-01-03
237,8,69,2022-12-27,2022-12-29
238,9,29,2022-12-28,2023-01-02
239,3,48,2022-12-28,2023-01-01
240,7,49,2022-12-28,2022-12-30
241,1,56,2022-12-28,2022-12-31
242,1,49,2022-12-29,2023-01-05
243,6,50,2022-12-30,2023-01-06
244,7,22,2022-12-31,2023-01-05
245,5,58,2022-12-31,2023-01-02
246,9,62,2022-12-31,2023-01-04
247,5,19,2023-01-02,2023-01-04
248,9,43,2023-01-02,2023-01-04
249,6,70,2023-01-02,2023-01-08
250,6,64,2023-01-03,2023-01-09
251,9,19,2023-01-04,2023-01-06
252,3,71,2023-01-05,2023-01-07
253,7,58,2023-01-06,2023-01-10
254,3,72,2023-01-06,2023-01-10
255,1,28,2023-01-08,2023-01-10
256,4,18,2023-01-12,2023-01-15
257,8,19,2023-01-12,2023-01-14
258,2,41,2023-01-12,2023-01-14
259,6,31,2023-01-13,2023-01-20
260,9,73,2023-01-13,2023-01-16
261,1,28,2023-01-16,2023-01-18
262,9,40,2023-01-16,2023-01-21
263,7,56,2023-01-16,2023-01-23
264,7,61,2023-01-17,2023-01-23
265,9,58,2023-01-18,2023-01-25
266,7,69,2023-01-19,2023-01-25
267,4,21,2023-01-20,2023-01-25
268,7,28,2023-01-21,2023-01-24
269,1,53,2023-01-23,2023-01-28
270,5,70,2023-01-23,2023-01-25
271,8,39,2023-01-24,2023-01-31
272,7,71,2023-01-24,2023-01-30
273,2,28,2023-01-26,2023-01-29
274,3,74,2023-01-27,2023-01-31
275,7,67,2023-01-28,2023-01-31
276,8,71,2023-01-31,2023-02-03
277,7,34,2023-02-02,2023-02-07
278,4,26,2023-02-03,2023-02-05
279,7,63,2023-02-03,2023-02-07
280,7,29,2023-02-04,2023-02-10
281,7,63,2023-02-04,2023-02-10
282,7,75,2023-02-04,2023-02-07
283,7,40,2023-02-07,2023-02-09
284,4,37,2023-02-08,2023-02-11
285,2,70,2023-02-09,2023-02-15
286,6,76,2023-02-10,2023-02-17
287,4,65,2023-02-11,2023-02-15
288,3,36,2023-02-14,2023-02-19
289,8,24,2023-02-15,2023-02-22
290,7,47,2023-02-17,2023-02-21
291,2,63,2023-02-19,2023-02-25
292,7,58,2023-02-20,2023-02-23
293,5,77,2023-02-22,2023-03-01
294,3,78,2023-02-22,2023-02-28
295,6,70,2023-02-24,2023-03-03
296,9,38,2023-03-01,2023-03-08
297,2,36,2023-03-03,2023-03-07
298,7,79,2023-03-05,2023-03-08
299,2,48,2023-03-08,2023-03-15
300,8,67,2023-03-09,2023-03-15
301,5,80,2023-03-09,2023-03-13
302,6,34,2023-03-11,2023-03-16
303,1,39,2023-03-12,2023-03-15
304,7,65,2023-03-13,2023-03-19
305,3,46,2023-03-15,2023-03-18
306,7,81,2023-03-16,2023-03-18
307,3,31,2023-03-17,2023-03-23
308,6,72,2023-03-17,2023-03-22
309,5,46,2023-03-18,2023-03-25
310,6,46,2023-03-19,2023-03-24
311,3,69,2023-03-19,2023-03-22
312,7,82,2023-03-20,2023-03-25
313,5,48,2023-03-21,2023-03-25
314,6,42,2023-03-23,2023-03-26
315,4,42,2023-03-23,2023-03-29
316,5,60,2023-03-23,2023-03-26
317,5,43,2023-03-24,2023-03-31
318,1,53,2023-03-24,2023-03-28
319,2,67,2023-03-24,2023-03-30
320,4,50,2023-03-25,2023-03-27
321,2,83,2023-03-28,2023-04-04
322,5,44,2023-03-29,2023-03-31
323,8,66,2023-03-29,2023-04-03
324,9,44,2023-03-30,2023-04-05
325,5,58,2023-04-03,2023-04-09
326,5,63,2023-04-03,2023-04-06
327,7,84,2023-04-03,2023-04-07
328,9,54,2023-04-06,2023-04-11
329,8,66,2023-04-07,2023-04-12
330,4,69,2023-04-07,2023-04-09
331,6,57,2023-04-08,2023-04-13
332,4,53,2023-04-10,2023-04-12
333,6,85,2023-04-10,2023-04-13
334,7,52,2023-04-11,2023-04-13
335,5,86,2023-04-11,2023-04-18
336,7,87,2023-04-12,2023-04-14
337,5,69,2023-04-14,2023-04-19
338,7,88,2023-04-14,2023-04-17
339,3,89,2023-04-14,2023-04-21
340,2,43,2023-04-15,2023-04-21
341,3,82,2023-04-15,2023-04-22
342,8,59,2023-04-16,2023-04-20
343,2,73,2023-04-16,2023-04-23
344,9,59,2023-04-17,2023-04-22
345,7,38,2023-04-18,2023-04-22
346,5,57,2023-04-18,2023-04-24
347,8,50,2023-04-19,2023-04-22
348,4,56,2023-04-19,2023-04-23
349,1,62,2023-04-19,2023-04-26
350,9,68,2023-04-21,2023-04-25
351,7,79,2023-04-21,2023-04-23
352,9,84,2023-04-21,2023-04-26
353,3,76,2023-04-22,2023-04-29
354,2,90,2023-04-24,2023-04-27
355,3,38,2023-04-25,2023-04-28
356,7,48,2023-04-27,2023-05-02
357,7,48,2023-04-27,2023-05-03
358,5,61,2023-04-28,2023-05-04
359,9,91,2023-04-29,2023-05-03
360,8,53,2023-04-30,2023-05-02
361,6,61,2023-05-02,2023-05-05
362,5,48,2023-05-03,2023-05-10
363,9,48,2023-05-04,2023-05-10
364,4,88,2023-05-04,2023-05-10
365,5,40,2023-05-05,2023-05-12
366,6,92,2023-05-05,2023-05-07
367,7,93,2023-05-07,2023-05-12
368,2,94,2023-05-07,2023-05-10
369,6,53,2023-05-08,2023-05-14
370,9,55,2023-05-08,2023-05-13
371,2,58,2023-05-08,2023-05-13
372,6,78,2023-05-08,2023-05-10
373,3,54,2023-05-13,2023-05-18
374,5,61,2023-05-13,2023-05-20
375,9,71,2023-05-14,2023-05-18
376,6,78,2023-05-14,2023-05-21
377,8,88,2023-05-14,2023-05-21
378,7,95,2023-05-16,2023-05-22
379,8,80,2023-05-17,2023-05-20
380,4,53,2023-05-19,2023-05-21
381,2,67,2023-05-19,2023-05-24
382,5,46,2023-05-20,2023-05-22
383,7,96,2023-05-20,2023-05-27
384,2,97,2023-05-22,2023-05-28
385,7,59,2023-05-23,2023-05-26
386,6,71,2023-05-23,2023-05-25
387,7,81,2023-05-23,2023-05-29
388,1,92,2023-05-23,2023-05-27
389,5,84,2023-05-24,2023-05-31
390,3,66,2023-05-26,2023-06-01
391,3,78,2023-05-27,2023-05-31
392,5,72,2023-05-28,2023-05-30
393,7,61,2023-05-29,2023-06-04
394,7,87,2023-05-30,2023-06-04
395,3,56,2023-06-02,2023-06-04
396,2,84,2023-06-02,2023-06-07
397,2,98,2023-06-02,2023-06-07
398,1,99,2023-06-02,2023-06-05
399,3,54,2023-06-03,2023-06-10
400,3,100,2023-06-06,2023-06-11
401,9,51,2023-06-09,2023-06-12
402,6,87,2023-06-09,2023-06-13
403,1,51,2023-06-11,2023-06-14
404,4,55,2023-06-12,2023-06-18
405,9,101,2023-06-12,2023-06-15
406,6,66,2023-06-17,2023-06-21
407,1,51,2023-06-19,2023-06-22
408,2,86,2023-06-21,2023-06-23
409,7,68,2023-06-23,2023-06-27
410,8,84,2023-06-23,2023-06-26
411,8,88,2023-06-25,2023-06-27
412,2,83,2023-06-27,2023-07-02
413,9,94,2023-06-28,2023-07-02
414,4,90,2023-06-29,2023-07-02
415,2,63,2023-06-30,2023-07-02
416,1,98,2023-06-30,2023-07-07
417,5,102,2023-07-02,2023-07-09
418,1,72,2023-07-05,2023-07-08
419,4,99,2023-07-09,2023-07-16
420,5,62,2023-07-10,2023-07-17
421,7,55,2023-07-11,2023-07-16
422,2,59,2023-07-12,2023-07-14
423,6,68,2023-07-12,2023-07-15
424,8,103,2023-07-12,2023-07-16
425,7,92,2023-07-13,2023-07-18
426,5,90,2023-07-14,2023-07-19
427,1,104,2023-07-16,2023-07-22
428,7,84,2023-07-18,2023-07-20
429,7,67,2023-07-19,2023-07-26
430,8,72,2023-07-19,2023-07-24
431,5,81,2023-07-19,2023-07-26
432,1,97,2023-07-19,2023-07-23
433,9,70,2023-07-20,2023-07-25
434,1,71,2023-07-20,2023-07-26
435,3,66,2023-07-21,2023-07-23
436,1,70,2023-07-21,2023-07-26
437,2,89,2023-07-21,2023-07-24
438,9,105,2023-07-22,2023-07-28
439,2,91,2023-07-23,2023-07-29
440,1,87,2023-07-24,2023-07-27
441,5,56,2023-07-30,2023-08-03
442,2,61,2023-08-01,2023-08-08
443,6,60,2023-08-02,2023-08-04
444,9,106,2023-08-02,2023-08-05
445,2,107,2023-08-04,2023-08-10
446,8,69,2023-08-05,2023-08-07
447,3,108,2023-08-05,2023-08-08
448,3,57,2023-08-06,2023-08-08
449,7,67,2023-08-06,2023-08-11
450,4,68,2023-08-06,2023-08-09
451,6,90,2023-08-06,2023-08-10
452,9,62,2023-08-08,2023-08-15
453,1,65,2023-08-08,2023-08-12
454,2,66,2023-08-10,2023-08-13
455,9,74,2023-08-10,2023-08-14
456,8,63,2023-08-12,2023-08-15
457,2,67,2023-08-13,2023-08-18
458,7,74,2023-08-14,2023-08-20
459,2,63,2023-08-17,2023-08-24
460,7,109,2023-08-17,2023-08-19
461,7,91,2023-08-20,2023-08-27
462,2,71,2023-08-21,2023-08-26
463,4,106,2023-08-21,2023-08-25
464,1,110,2023-08-22,2023-08-26
465,8,67,2023-08-23,2023-08-28
466,2,80,2023-08-24,2023-08-28
467,4,103,2023-08-25,2023-08-27
468,6,111,2023-08-25,2023-08-31
469,7,72,2023-08-26,2023-08-31
470,8,82,2023-08-28,2023-08-30
471,6,63,2023-08-29,2023-09-04
472,9,112,2023-08-29,2023-09-02
473,7,98,2023-08-30,2023-09-02
474,7,91,2023-09-01,2023-09-03
475,6,73,2023-09-02,2023-09-05
476,2,80,2023-09-02,2023-09-07
477,2,113,2023-09-02,2023-09-09
478,9,114,2023-09-05,2023-09-08
479,5,93,2023-09-06,2023-09-12
480,3,99,2023-09-06,2023-09-09
481,3,66,2023-09-09,2023-09-12
482,7,115,2023-09-09,2023-09-11
483,3,104,2023-09-12,2023-09-15
484,3,116,2023-09-14,2023-09-18
485,5,96,2023-09-15,2023-09-19
486,7,117,2023-09-16,2023-09-19
487,1,66,2023-09-17,2023-09-19
488,1,105,2023-09-19,2023-09-25
489,2,87,2023-09-20,2023-09-27
490,7,110,2023-09-20,2023-09-24
491,4,71,2023-09-21,2023-09-24
492,4,76,2023-09-21,2023-09-26
493,9,111,2023-09-21,2023-09-28
494,7,118,2023-09-22,2023-09-28
495,9,79,2023-09-23,2023-09-30
496,5,105,2023-09-23,2023-09-28
497,7,70,2023-09-25,2023-09-30
498,7,107,2023-09-25,2023-10-02
499,7,108,2023-09-25,2023-09-28
500,2,71,2023-09-26,2023-09-28
501,3,119,2023-09-26,2023-10-03
502,5,79,2023-09-28,2023-10-02
503,5,114,2023-09-29,2023-10-05
504,4,120,2023-10-01,2023-10-07
505,4,121,2023-10-01,2023-10-07
506,5,80,2023-10-02,2023-10-07
507,5,106,2023-10-02,2023-10-04
508,7,115,2023-10-02,2023-10-05
509,5,86,2023-10-08,2023-10-11
510,3,97,2023-10-08,2023-10-14
511,9,91,2023-10-10,2023-10-13
512,7,95,2023-10-10,2023-10-12
513,7,106,2023-10-12,2023-10-15
514,9,111,2023-10-15,2023-10-22
515,8,122,2023-10-15,2023-10-20
516,7,101,2023-10-16,2023-10-23
517,7,75,2023-10-18,2023-10-22
518,7,80,2023-10-19,2023-10-25
519,8,90,2023-10-22,2023-10-26
520,5,121,2023-10-23,2023-10-26
521,4,89,2023-10-26,2023-10-30
522,6,116,2023-10-26,2023-11-01
523,5,110,2023-10-29,2023-11-03
524,7,115,2023-10-29,2023-11-03
525,3,81,2023-10-30,2023-11-04
526,8,103,2023-10-31,2023-11-03
527,2,88,2023-11-01,2023-11-08
528,6,86,2023-11-02,2023-11-06
529,3,120,2023-11-03,2023-11-10
530,7,123,2023-11-03,2023-11-07
531,7,114,2023-11-04,2023-11-09
532,2,99,2023-11-05,2023-11-07
533,3,122,2023-11-05,2023-11-11
534,7,94,2023-11-06,2023-11-12
535,3,109,2023-11-07,2023-11-13
536,8,91,2023-11-08,2023-11-13
537,9,124,2023-11-08,2023-11-11
538,8,93,2023-11-09,2023-11-11
539,2,122,2023-11-09,2023-11-15
540,4,82,2023-11-12,2023-11-19
541,4,94,2023-11-13,2023-11-16
542,5,82,2023-11-14,2023-11-17
543,3,104,2023-11-14,2023-11-19
544,2,109,2023-11-14,2023-11-16
545,3,110,2023-11-15,2023-11-17
546,7,86,2023-11-16,2023-11-18
547,6,87,2023-11-16,2023-11-19
548,6,125,2023-11-16,2023-11-20
549,6,81,2023-11-19,2023-11-26
550,5,86,2023-11-19,2023-11-22
551,8,79,2023-11-20,2023-11-26
552,1,116,2023-11-20,2023-11-27
553,9,126,2023-11-21,2023-11-26
554,9,104,2023-11-22,2023-11-26
555,7,127,2023-11-22,2023-11-29
556,8,121,2023-11-23,2023-11-25
557,5,110,2023-11-24,2023-12-01
558,7,108,2023-11-25,2023-11-28
559,7,128,2023-11-25,2023-12-01
560,5,94,2023-11-28,2023-11-30
561,7,121,2023-11-28,2023-12-02
562,4,97,2023-11-30,2023-12-03
563,5,115,2023-12-03,2023-12-10
564,4,129,2023-12-03,2023-12-07
565,2,120,2023-12-04,2023-12-06
566,7,111,2023-12-06,2023-12-13
567,9,120,2023-12-06,2023-12-08
568,2,104,2023-12-07,2023-12-13
569,2,81,2023-12-08,2023-12-14
570,5,86,2023-12-08,2023-12-13
571,2,130,2023-12-09,2023-12-14
572,6,88,2023-12-11,2023-12-13
573,8,99,2023-12-11,2023-12-16
574,3,100,2023-12-12,2023-12-16
575,6,105,2023-12-13,2023-12-17
576,1,131,2023-12-14,2023-12-16
577,8,132,2023-12-15,2023-12-20
578,4,123,2023-12-18,2023-12-20
579,9,97,2023-12-19,2023-12-23
580,8,133,2023-12-20,2023-12-23
581,1,98,2023-12-22,2023-12-25
582,5,116,2023-12-22,2023-12-26
583,2,87,2023-12-25,2024-01-01
584,8,86,2023-12-26,2023-12-28
585,5,110,2023-12-29,2024-01-03
586,7,89,2023-12-31,2024-01-04
587,6,125,2023-12-31,2024-01-03
588,6,120,2024-01-01,2024-01-04
589,8,117,2024-01-05,2024-01-11
590,2,90,2024-01-07,2024-01-11
591,9,112,2024-01-07,2024-01-13
592,7,121,2024-01-08,2024-01-13
593,3,130,2024-01-09,2024-01-15
594,8,106,2024-01-13,2024-01-15
595,2,120,2024-01-15,2024-01-21
596,9,126,2024-01-15,2024-01-22
597,5,112,2024-01-16,2024-01-18
598,2,126,2024-01-17,2024-01-21
599,9,93,2024-01-18,2024-01-25
600,6,91,2024-01-19,2024-01-21
601,6,100,2024-01-19,2024-01-25
602,7,129,2024-01-19,2024-01-23
603,3,91,2024-01-20,2024-01-25
604,7,93,2024-01-21,2024-01-27
605,5,132,2024-01-21,2024-01-26
606,8,118,2024-01-22,2024-01-24
607,5,125,2024-01-24,2024-01-27
608,2,98,2024-01-25,2024-01-27
609,5,105,2024-01-27,2024-02-01
610,5,129,2024-01-28,2024-02-02
611,2,110,2024-01-30,2024-02-02
612,6,130,2024-01-30,2024-02-06
613,3,101,2024-02-06,2024-02-11
614,2,96,2024-02-07,2024-02-13
615,9,120,2024-02-11,2024-02-18
616,5,129,2024-02-13,2024-02-18
617,2,133,2024-02-14,2024-02-20
618,4,114,2024-02-16,2024-02-21
619,5,125,2024-02-17,2024-02-22
620,7,121,2024-02-18,2024-02-23
621,5,129,2024-02-21,2024-02-24
622,2,107,2024-02-22,2024-02-28
623,9,113,2024-02-22,2024-02-29
624,4,124,2024-02-23,2024-02-26
625,1,116,2024-02-26,2024-03-01
626,4,128,2024-02-26,2024-03-01
627,3,111,2024-02-28,2024-03-04
628,7,116,2024-03-02,2024-03-04
629,5,122,2024-03-02,2024-03-04
630,5,115,2024-03-07,2024-03-12
631,8,110,2024-03-11,2024-03-15
632,1,131,2024-03-13,2024-03-17
633,8,109,2024-03-14,2024-03-21
634,3,115,2024-03-14,2024-03-21
635,7,130,2024-03-16,2024-03-23
636,5,105,2024-03-17,2024-03-21
637,1,105,2024-03-18,2024-03-25
638,5,124,2024-03-18,2024-03-23
639,5,128,2024-03-23,2024-03-27
640,7,108,2024-03-26,2024-03-28
641,4,111,2024-03-30,2024-04-01
642,6,120,2024-04-05,2024-04-10
643,9,115,2024-04-06,2024-04-10
644,3,115,2024-04-08,2024-04-10
645,2,117,2024-04-09,2024-04-14
646,2,122,2024-04-09,2024-04-14
647,4,104,2024-04-10,2024-04-14
648,2,133,2024-04-11,2024-04-13
649,5,120,2024-04-14,2024-04-19
650,9,117,2024-04-19,2024-04-21
651,1,109,2024-04-21,2024-04-23
652,7,112,2024-04-23,2024-04-29
653,1,112,2024-04-30,2024-05-07
654,9,120,2024-05-04,2024-05-07
655,6,124,2024-05-04,2024-05-09
656,4,118,2024-05-10,2024-05-16
657,5,110,2024-05-11,2024-05-18
658,1,111,2024-05-11,2024-05-13
659,8,132,2024-05-13,2024-05-16
660,5,130,2024-05-18,2024-05-24
661,3,119,2024-05-19,2024-05-26
662,5,128,2024-05-21,2024-05-24
663,2,120,2024-05-22,2024-05-27
664,7,131,2024-05-25,2024-05-31
665,2,122,2024-05-27,2024-06-02
666,2,130,2024-06-01,2024-06-03
667,7,118,2024-06-03,2024-06-06
668,1,124,2024-06-08,2024-06-13
669,4,125,2024-06-11,2024-06-15
670,9,121,2024-06-12,2024-06-14
671,7,129,2024-06-14,2024-06-19
672,2,122,2024-06-18,2024-06-20
673,6,124,2024-06-21,2024-06-23
674,6,121,2024-06-23,2024-06-25
675,5,131,2024-07-01,2024-07-03
676,2,133,2024-07-09,2024-07-15
677,1,133,2024-07-10,2024-07-14
678,6,133,2024-07-13,2024-07-18
679,3,132,2024-07-24,2024-07-30
680,4,130,2024-07-28,2024-08-04
681,5,129,2024-07-29,2024-08-05
682,7,131,2024-07-30,2024-08-04
683,7,129,2024-08-13,2024-08-19
684,2,132,2024-08-16,2024-08-23
685,7,133,2024-08-30,2024-09-04
